Section,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Identification & Provenance,Table Identifiers,Table Identifiers,Table Identifiers,Table Identifiers,Table Identifiers,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Instrument / Acquisition Parameters,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Analyte Information,Peak Row,Peak Row,Peak Row,Peak Row,Peak Row,Peak Row,Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),Vibrational Mode (of structural environment),SERS Substrate Information,SERS Substrate Information,SERS Substrate Information,SERS Substrate Information,SERS Substrate Information,SERS Substrate Information,SERS Substrate Information,Preprocessing,,,,,,,,,,,,,,,
Field,Publication Title,Publication Type,DOI,URL,ISBN,Journal,Volume,Page,Author,Publisher,Publication Date,Version Information,Contributor ORCIDs,Licensing Terms,Experimental Section,Source Title,Page Number,Table Title,Table Description,References,Instrument Information,Resolution,Resolution Units,Laser Wavelength,Laser Power,Laser Diameter,Pulse Duration,Integration time,Objective,Spectral Range High,Spectral Range Low,Acquisition Mode,Temperature,Temperature Units,Measurement Type,Analyte Name,Type,Chemical Class,Role,Chemical Identifier (SMILES),Chemical Identifier (CAS Registry Number),Solvent,Sample Matrix,Concentration,Concentration (Raw),Analyte Phase,Solvent Phase,Preparation Method,Peak Unit,Peak High,Peak Low,Peak,Peak Width,Notes,Mode Index,Notation Convention,Assignment Label,Molecular Geometry,Point Group,Mulliken Symmetry Label,Descriptive Symmetry Label,Descriptive Motion Label,Mulliken Label,Geometric Label,Phase Label,Moiety,Vibrational Mode Assignment Description,Assignment Confidence,Functional Group,Structural Environment,Structural Position,Material,Morphology,Fabrication Method,Preparation Details,Active Area,Substrate Size Description,Substrate Information,Preprocessing Information,,,,,,,,,,,,,,,
Description,The title of the observed scientific literature.,"The type of publication of the observed literature (book, scientific paper, etc.).",The unique identifier of the observed scientific literature.,The URL link to the observed scientific literature.,The unique numerical identifier that is assigned to books and book-like products published internationally.,The scientific journal the literature was published in.,"If published in a scientific journal, this is the volume that the paper was published in.","If published in a scientific journal, this is the page of the volume that this paper is in. If given a range, list the first page in the range. ",The first author of the literature.,The publisher of the literature.,The date that the literature was published. (mm-dd-yyyy),The most recent version of the observed scientific literature.,The unique researcher IDs of any contributors to the data in the literature.,Licensing terms of the observed scientific literature. (MIT; open access or subscribe),"The raw text from an ""Experimental"" section of the literature.",The title of the literature the peak is observed in.,The page number (of the pdf) of the literature that the table is located on.,The title of the table the peak data is displayed in.,The description of the table given in the observed literature.,"A list of references specified in the table or in context of the table. (Usually presented as [130-132, 134-136] or a similar format and may require further interpretation)","A description of the instruments used in the spectral data measurements (spectrometer, laser, detector, etc.).","The resolution of the spectrometer used (4 cm^-1, etc.).",The units used for the resolution of the spectrometer used (cm^-1).,The wavelength of the laser used to capture the observed spectroscopy data.,"The power of the laser used to capture the observed spectroscopy data (measured in mW). If a pulsed laser was used, this is the average power delivered over the course of the laser pulses.","The spot size diameter of the laser used during measurement (2 micrometers, etc.)",The duration of laser pulses (Continuous if not pulsed),The duration that the detector collected photons from the analyte.,A description of the objective lens used for the experiment.,The upper bound of the spectral range observed from the experiment in cm^-1.,The lower bound of the spectral range observed in the experiment. in cm^-1,"The strategy used to capture the data from the detector (static, average, time-series, etc.)",The temperature of the analyte during the measurement.,"The unit of temperature of the analyte during the measurement (C, F, K).","The type of spectroscopy technique used to measure the peaks (Raman, IR, SERS).","The specific substance or chemical constituent that is being measured. This is the ""target"" of the measurement.","The high-level category describing the fundamental nature of the analyte as a physical or biological entity. (Polymer, Tissue, Environmental Sample, Biomolecule, etc.) (Qualitatively describes form, not chemistry)","The structural or functional chemical family to which the analyte belongs, based on IUPAC nomenclature. (Alcohol, Ketone, Ester, Alkaloid, etc.) (Describes chemistry)","The role that this analyte plays in the measurement (target, reference, internal_standard, matrix_component, impurity, dopant, substrate_modifier)",The plain text string that identifies the observed chemical compound by the SMILES (Simplified Molecular Input Line Entry System) standard.,"The string of numbers, separated by hyphens that identify the observed chemical compound (as labeled in the CAS registry).",The name of the chemical compound used as a solvent in the experiment.,A list of any other chemicals/substances in the sample that are not being targeted for observation (qualitative description).,The quantitative ratio of the amount of analyte relative to its sample.,The raw text used to describe the concentration of the analyzed solution. (This is usually found in the experimental section or the results section),"The phase of the analyte that it is observed in (solid crystal, powder, solution, vapor, etc.)","The phase of the solvent that the analyte is observed in (solid, liquid, vapor, etc.)",The qualitative description of the procedures taken to prepare the spectroscopic measurement of the analyte.,The unit of the reported shift (usually in cm^-1).,The upper bound of the range for the peak.,The lower bound of the range for the peak.,The single value of the peak (if only one is given).,"The width of the peak measured at half the peak height, where intensity is half of the maximum intensity of the peak. (FWHM ""Full Width at Half Maximum"")(usually in cm^-1)","Additional details about the peak assignment from the literature. Include relative intensity strength as documented by the author of the literature (vs, s, m, w, vw, etc.) and polarization details (p, dp, etc.) with keys to specify if necessary. Also include any baseline correction if stated in literature.","The specific integer assigned to the vibration (4, 10, 3b).","The notation convention used to assign the mode index (Mulliken, Herzberg, Wilson Numbering, Wilson-Decius-Cross, or descriptive)","The shorthand identifier used to assign the vibrational mode in literature (v4, v10, etc.). This follows specific naming conventions (Mulliken, Herzberg, Wilson Numbering, Wilson-Decius-Cross, or descriptive).","The geometry of the structural environment (linear, bent, trigonal planar, trigonal pyramidal, tetrahedral, square planar, trigonal bipyramidal, octahedral, etc.)","The machine-readable plain text label for the point group of the structural environment (A1g, C2v, D3h, Td, etc.). ([getzenquery.com](https://www.getzenquery.com/tools/molecular-symmetry-analyzer/))","The symmetry label given to the vibrational mode using the Mulliken labeling convention. (A', a'', B, b, T, t, e, E, g-sub, u-sub)","The descriptive label of the vibrational symmetry (symmetric, antisymmetric, degenerate, etc.).","The descriptive label of the vibrational motion (stretch, bend, twist, rock etc.)","The irreducible label of the vibrational symmetry in machine-readable, plain text, following the Mulliken notation convention (A1g, B2u, E_prime, A1g_sym, etc.)","The descriptive label of the vibrational geometry (in-plane, out-of-plane, radial, tangential, etc.).","The descriptive label of the vibrational phase (in-phase, out-of-phase, etc.).","The distinct, identifiable bond in the molecule that is analyzed in the table (C—C, N=C=N, etc.) (Use SMILES format).","The raw text that is used to report the vibrational mode assignment, if applicable (sym. str., C—C skel. def., etc.) (raw text. non-standardized).","The confidence assigned to a vibrational mode as stated in the literature if applicable. Provide proper context (0.7 out of a 1.0 scale / ""certain"" vs. ""probable"").","The specific arrangement of atoms that behaves predictably in spectra (these are substructures that produce characteristic spectral peaks) (Raw qualitative data descriptions, be aware of controlled vocabulary).","The specific bond within the analyte that is being targeted for peak assignment. (Raw data, non-standardized)","Raw descriptive text to describe where a group sits within a molecule. (terminal, internal, axial, endocyclic, exocyclic, backbone)","The base material of the substrate used in the measurement (Ag, Au, Cu, Au–Ag alloy, Si + Au coating, etc.) (Follows naming conventions defined by IUPAC).","The described structure (and any supporting structure) of the substrate (raw text)(""Ag nanograss SERS substrate"", ""silver nanorod array substrates"", ""Au NPs on a regularly arranged ZrO2 nanoporous structure"", etc.) (can be expressed with abbreviations like ns, nr, nf, etc. which may require a key)",The manufacturing process of the substrate as described in the literature. (Raw paragraph description from literature)(ISO/TS 80004-8 is a resource for nanomanufacturing vocabulary.),"The raw text description of how the substrate was prepared for the experiment (Ex: ""BCP vapors were sprayed onto a CsI substrate maintained at approximately -190 C by boiling nitrogen."")","The area of the region of the substrate exposed to the analyte and laser (4mm^2, etc.)","The reported dimensions of the substrate used in the measurement (1 x 1cm, region diameter of 2mm, etc.)","A complete description of the substrate used in the SERS experiment. (Raw descriptive text extracted from literature. Ex: ""In this study, a SERS-active substrate with Au NPs on a regularly arranged ZrO2 nanoporous structure was utilized to obtain the SERS spectrum of inpatient samples from COVID-19 patients."")",A description of the preprocessing methods used.,,,,,,,,,,,,,,,
1,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,9,Table 4.,Raman spectrum of C2F5Cl,,,,,,,,,,,,,,,,,,,,,C2F5Cl,,,,,,liquid,,,cm^-1,,,1352,,"m (medium relative intensity), depol. (depolarized)",,Mulliken,v12,,,a'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,9,Table 4.,Raman spectrum of C2F5Cl,,,,,,,,,,,,,,,,,,,,,C2F5Cl,,,,,,liquid,,,cm^-1,,,1237,,"w (weak relative intensity), pol. (polarized)",,Mulliken,v1,,,a',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,9,Table 4.,Raman spectrum of C2F5Cl,,,,,,,,,,,,,,,,,,,,,C2F5Cl,,,,,,liquid,,,cm^-1,,,1226,,"m (medium relative intensity), pol. (polarized)",,Mulliken,v2,,,a',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,9,Table 4.,Raman spectrum of C2F5Cl,,,,,,,,,,,,,,,,,,,,,C2F5Cl,,,,,,liquid,,,cm^-1,,,1178,,"m (medium relative intensity), depol. (depolarized)",,Mulliken,v13,,,a'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,9,Table 4.,Raman spectrum of C2F5Cl,,,,,,,,,,,,,,,,,,,,,C2F5Cl,,,,,,liquid,,,cm^-1,,,1124,,"m (medium relative intensity), pol. (polarized)",,Mulliken,v3,,,a',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,9,Table 4.,Raman spectrum of C2F5Cl,,,,,,,,,,,,,,,,,,,,,C2F5Cl,,,,,,liquid,,,cm^-1,,,986,,"m (medium relative intensity), pol. (polarized)",,Mulliken,v4,,,a',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,9,Table 4.,Raman spectrum of C2F5Cl,,,,,,,,,,,,,,,,,,,,,C2F5Cl,,,,,,liquid,,,cm^-1,,,783,,vw (very weak relative intensity),,Mulliken,v8 + v16,,,A'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,The infrared and Raman spectra of the pentafluorodhyl halides ,Scientific Paper,,,,Spectrochimica Acta,12,1036,O. Risgin,Pergomon Press Ltd.,08-06-1959,,,,"Pentafluoroethyl chloride was made available through the courtesy of Professor J. J. Martin of the Chemical Engineering Department of the University of Michigan, who had obtained it from the Jackson laboratories of the E. I. DuPont de Nemours Co. It had been prepared for PVT studies and was further purified by trap to trap distillation. Pentafluoroethyl bromide and iodide were synthesized in this laboratory by the procedure of VON GROSSE et al. [4]. Perfluoropropionic acid, kindly supplied by the Minnesota Mining and Manufacturing Co., was neutralized by Ag2O, and the silver salt decarboxylated by reaction with the appropriate halogen. The product was purified by passage over KOH and P2O5 and was further purified before use by several trap to trap fractionations in a vacuum line. A constant vapor pressure was taken as an indication of purity. The observed spectra show no indication of the presense of sizeable quantities of impurities. The infrared spectra were recorded by a Perkin-Elmer Model 21 double beam spectrometer equipped with both CaF2, and NaCl prisms. The Raman spectra were recorded photographically by a Gaertner two prism spectrograph with a linear dispersion of 16 A/mm. Details of the Raman spectrographic apparatus have been published previously [5]. The Raman spectra of the liquid pentafluoroethyl halides were determined at about -40C, while the spectra of the gases were determined at room temperature and a pressure of about 5 atm. The depolarization ratios of the liquids were determined by the two exposure method using Polaroid cylinders around the sample tubes to polarize the incident light. C2F5I showed photochemical decomposition even at low temperatures, liberating free iodine, and therefore it was not possible to determine the Raman spectrum of gaseous C2F5I. The infrared spectra of the compounds are reproduced in Fig. 1 and microphotometer records of the Raman spectra are reproduced in Figs. 2 and 3. 
",,9,Table 4.,Raman spectrum of C2F5Cl,,,,,,,,,,,,,,,,,,,,,C2F5Cl,,,,,,liquid,,,cm^-1,,,761,,"vvs (very very strong relative intensity), pol. (polarized)",,Mulliken,v5,,,a',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
